,freq94,freq95,freq96,freqT1,freqT2,freqT3,freqT4,freqT5,freqT6,freqT7,freqT8,amount94,amount95,amount96,amountT1,amountT2,amountT3,amountT4,amountT5,amountT6,amountT6,amountT7,amountT8,MDMAUD
1,4,20,17,6,5,5,7,3,4,5,7,50,150,0,0,0,0,50,0,0,0,50,100,C1CM
2,2,17,10,5,3,3,6,3,3,2,5,100,77,102,0,77,0,100,0,0,0,0,102,D1CM
3,4,24,10,7,4,4,7,3,3,4,7,0,25,100,25,0,0,0,0,0,0,100,0,L1CM
4,4,24,20,8,6,4,10,4,5,4,9,30,165,0,0,40,0,55,0,100,100,0,0,C2CM
5,7,33,10,9,5,5,10,2,5,5,10,0,75,0,0,0,0,0,75,0,0,0,0,D2CM
6,2,15,20,5,4,2,9,3,4,4,8,0,300,0,200,0,0,0,0,0,0,0,100,C2CM
7,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,100,0,I1CM
8,2,10,10,4,2,2,5,2,2,2,4,0,60,100,60,0,0,0,0,0,0,0,100,I1CM
9,4,32,37,11,8,8,13,8,8,8,12,0,59,0,11,11,14,0,0,11,11,12,0,C2CM
10,0,4,15,2,1,1,8,2,3,1,4,0,50,500,0,0,0,0,0,50,50,250,250,L1CM
11,1,15,29,8,4,3,12,5,5,3,8,5,607,13,7,500,100,5,0,0,0,0,13,I2MM
12,5,22,28,10,2,6,13,6,4,8,8,0,20,0,0,0,0,10,0,0,0,10,0,C2CM
13,4,7,6,3,1,2,7,1,0,2,2,0,0,50,0,0,0,0,0,0,0,50,0,D1CM
14,2,10,16,6,2,2,8,3,3,2,4,0,35,77,0,37,0,0,0,35,35,40,0,I1LM
15,5,23,12,7,4,4,7,3,4,4,8,0,16,50,0,0,0,0,0,0,0,0,66,I1CM
16,1,6,7,2,2,0,4,1,1,2,3,0,0,100,0,0,0,0,0,0,0,100,0,L2CM
17,2,21,33,10,6,5,10,5,6,5,11,25,175,0,100,0,25,25,0,50,50,0,0,D2CM
18,4,14,13,6,4,3,6,1,3,3,6,0,45,0,0,0,25,0,0,0,0,0,20,C1MM
19,2,11,7,3,2,3,5,1,1,3,3,0,0,31,0,31,0,0,0,0,0,0,0,C1CM
20,8,38,24,11,7,8,12,5,7,7,14,100,200,100,100,100,0,100,0,0,0,0,100,L1CM
21,3,12,14,5,4,2,4,1,3,4,7,0,0,30,0,0,0,0,0,0,0,30,0,D1CM
22,2,9,10,4,2,2,5,1,2,2,4,0,25,0,25,0,0,0,0,0,0,0,0,C1LM
23,1,6,8,1,2,0,4,1,2,2,4,0,0,100,0,0,0,0,0,0,0,0,100,L1CM
24,0,0,6,1,1,0,2,1,1,0,1,0,0,200,0,200,0,100,0,0,0,0,0,C1CM
25,2,10,10,5,2,2,5,1,2,2,4,0,100,0,0,0,0,0,0,0,0,0,100,D5CM
26,5,32,17,10,6,5,8,6,5,5,10,35,50,0,50,0,0,35,0,0,0,0,0,C1CM
27,8,37,25,12,6,8,13,5,7,7,14,90,81,0,0,0,45,45,46,0,0,0,35,L1CM
28,2,11,14,4,3,3,5,2,3,3,5,0,275,0,150,0,0,0,0,0,0,125,0,L1CM
29,3,17,16,7,4,2,7,3,3,4,7,0,250,0,0,0,0,200,0,0,0,50,0,C1CM
30,0,7,14,4,3,1,4,1,2,3,4,0,200,0,100,0,0,0,0,0,0,100,0,I1CM
31,4,16,10,5,4,3,6,1,3,3,6,15,15,0,0,0,30,0,0,0,0,0,0,C1CM
32,1,6,6,2,1,0,4,1,1,2,3,0,25,50,0,0,0,0,50,0,0,0,25,I2CM
33,2,13,15,6,3,2,7,3,1,3,6,0,202,100,100,102,0,0,0,0,0,100,0,I1CM
34,4,19,10,3,4,1,8,2,4,4,8,0,25,25,0,25,0,0,0,0,0,25,0,L1CM
35,0,8,15,4,3,1,7,2,2,2,4,0,110,50,50,0,100,0,0,0,0,10,0,L1CM
36,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,0,100,I1CM
37,0,8,28,7,2,2,13,4,3,3,6,0,175,135,50,15,100,0,0,0,0,45,100,I1CM
38,2,17,33,10,5,4,11,5,5,5,9,0,115,20,20,0,0,0,25,50,50,25,15,D2CM
39,2,15,13,5,2,3,6,3,2,4,6,25,25,100,0,0,25,0,0,0,0,0,125,L1CM
40,7,27,10,7,5,5,8,2,5,4,9,0,50,0,50,0,0,0,0,0,0,0,0,C1CM
41,1,9,10,4,2,1,4,2,2,2,4,0,100,0,0,0,0,0,100,0,0,0,0,L1CM
42,7,32,24,11,7,8,13,5,5,7,8,200,200,100,0,100,100,100,0,0,0,100,100,D2CM
43,1,12,9,3,2,1,4,2,2,5,4,0,0,100,0,0,0,0,0,0,0,0,100,L1CM
44,0,11,13,5,3,2,5,3,2,3,2,0,55,30,0,0,0,0,0,60,60,25,0,D1CM
45,0,2,17,3,2,1,6,2,3,1,3,0,155,0,0,0,50,0,0,105,105,0,0,C2CM
46,2,11,10,5,2,2,5,3,2,2,3,0,100,100,0,0,0,0,0,200,200,0,0,C1CM
47,5,31,9,9,5,4,5,3,5,5,10,0,10,0,0,0,0,0,0,0,0,0,10,D1CM
48,2,10,10,4,2,2,5,2,2,2,4,0,100,100,0,100,0,50,0,0,0,0,100,C1CM
49,8,38,15,11,6,7,9,5,6,6,12,20,20,0,10,0,20,10,0,0,0,0,0,D5CM
50,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,0,100,D5TM
51,0,10,10,3,3,1,4,2,2,3,3,0,200,100,100,0,0,0,0,0,0,200,0,D1CM
52,3,18,13,6,4,3,5,3,4,3,7,0,191,0,0,0,108,0,0,0,0,83,0,C2CM
53,2,10,16,5,3,2,5,2,3,3,6,0,150,0,0,0,0,0,0,100,100,0,50,C1CM
54,8,36,22,12,7,6,9,5,7,7,14,0,72,0,0,27,0,20,0,0,0,0,25,C1CM
55,2,11,10,5,2,2,5,2,2,2,4,0,50,0,0,0,50,100,0,0,0,0,0,I1CM
56,0,5,7,5,1,0,2,1,2,1,1,0,0,20,0,0,0,0,0,20,20,0,0,D2CM
57,1,9,11,3,2,1,6,2,2,2,4,0,100,100,0,0,0,0,0,100,100,0,100,L1CM
58,0,4,16,4,2,1,9,3,1,1,2,0,100,200,200,0,0,0,0,0,0,0,100,L1CM
59,4,15,13,4,4,2,6,1,4,4,8,0,0,48,0,0,0,0,0,0,0,0,48,L2CM
60,8,27,26,10,6,6,14,4,6,6,12,0,209,0,53,0,0,100,0,0,0,0,56,L1CM
61,6,22,40,14,6,4,18,6,6,6,12,0,81,15,0,0,15,15,15,0,0,36,15,C2CM
62,3,33,30,13,6,6,11,6,7,6,13,21,125,20,50,0,0,71,20,25,25,0,0,C1CM
63,0,9,10,3,2,1,4,2,2,2,4,0,50,100,100,0,0,0,0,0,0,0,50,C1CM
64,2,8,9,3,2,1,5,1,2,2,4,0,300,0,300,0,0,0,0,0,0,0,0,C1CM
65,0,0,6,1,0,0,2,1,1,1,1,0,0,105,0,0,0,0,0,0,0,105,0,I1CM
66,0,0,5,1,0,0,2,1,1,0,1,0,0,100,0,0,0,0,0,100,100,0,0,I1CM
67,1,9,10,3,2,1,5,2,2,2,4,50,0,100,0,0,0,50,0,0,0,0,100,C1CM
68,2,10,28,7,4,2,14,5,5,3,4,0,170,75,130,0,0,0,40,35,35,40,0,L1LM
69,2,12,14,5,3,2,5,2,4,2,6,35,0,100,0,0,0,35,0,0,0,100,0,I1CM
70,2,11,16,5,3,3,5,2,3,3,6,0,325,0,200,0,0,0,0,0,0,125,0,D1CM
71,0,4,10,2,1,1,4,1,2,1,3,0,100,102,0,102,0,0,0,100,100,0,0,C1CM
72,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,100,0,I1CM
73,6,33,36,14,7,7,16,6,7,7,14,75,250,200,50,100,175,0,100,0,0,0,100,L2CM
74,2,13,11,3,2,1,5,1,4,5,6,0,0,50,0,0,0,0,0,0,0,0,50,D2CM
