ID	logNO2	logCars	temp	windsp	tempdiff	winddir	timehr	day	NO2	Cars	Time	IMorn	IAft	Train	NO2Cat	HoldOut
1	3.71844	7.6912	9.2	4.8	-0.1	74.4	20	600	41.20007184	2188.999787	Evening	0	0	1	2	1
2	3.10009	7.69894	6.4	3.5	-0.3	56	14	196	22.19994919	2206.008383	Afternoon	0	1	1	1	1
3	3.31419	4.81218	-3.7	0.9	-0.1	281.3	4	513	27.50010987	122.9994643	Evening	0	0	1	1	1
4	4.38826	6.95177	-7.2	1.7	1.2	74	23	143	80.50022665	1044.997738	Evening	0	0	1	3	1
5	4.3464	7.51806	-1.3	2.6	-0.1	65	11	115	77.20004192	1840.992302	Morning	1	0	1	3	1
6	4.16044	7.67183	2.6	1.6	0.3	224.2	19	527	64.09972027	2147.006875	Afternoon	0	1	1	3	1
7	4.01277	5.52545	-7.9	1.6	0.3	211.9	5	502	55.29983916	250.9992623	Morning	1	0	1	2	1
8	2.15176	4.68213	-4.1	3.8	-0.1	63.1	4	453	8.599981052	107.9998675	Evening	0	0	1	1	1
9	3.157	7.15618	-12.7	5.2	-0.1	64.5	12	462	23.4999901	1282.004311	Morning	1	0	1	1	1
10	2.37955	4.74493	-1.6	3	0.4	58.3	3	554	10.80004175	114.9997552	Evening	0	0	1	1	1
11	3.83298	5.81114	-3.1	1.8	0.3	78	2	55	46.20000933	333.9996683	Evening	0	0	1	2	1
12	4.48187	8.10892	1	1.2	1.5	215	18	47	88.39982588	3323.986186	Afternoon	0	1	1	3	1
13	4.0483	8.31385	12.2	4	-2.8	230.4	17	572	57.29996426	4079.990749	Afternoon	0	1	1	2	1
14	4.00186	5.22036	-1.5	2.4	0.9	82.7	5	556	54.69979709	185.0007724	Morning	1	0	1	2	1
15	3.2308	6.40853	-0.9	3	0.1	235	1	69	25.29988879	607.0007338	Evening	0	0	1	1	1
16	4.67189	7.3192	-8.5	0.8	2.9	282.4	20	447	106.8995919	1508.99629	Evening	0	0	1	3	1
17	2.73437	6.6174	6.5	4.1	0	88	24	186	15.40003835	747.9977725	Evening	0	0	1	1	1
18	3.49651	7.76938	4.2	7.1	-1.1	9.3	10	550	33.00008047	2367.003291	Morning	1	0	1	2	1
19	3.67122	6.4677	-1.1	2.5	1	277	6	142	39.29982241	644.0008204	Morning	1	0	1	2	1
20	3.67377	7.65064	0.8	3.4	-0.4	70	12	167	39.40016484	2101.990433	Morning	1	0	1	2	1
21	3.15274	7.75061	8.2	4.5	0.2	307	14	32	23.40009308	2322.989006	Afternoon	0	1	1	1	1
