outdoor,social,conservative,job
10,22,5,customer service
14,17,6,customer service
19,33,7,customer service
14,29,12,customer service
14,25,7,customer service
20,25,12,customer service
6,18,4,customer service
13,27,7,customer service
18,31,9,customer service
16,35,13,customer service
17,25,8,customer service
10,29,11,customer service
17,25,7,customer service
10,22,13,customer service
10,31,13,customer service
18,25,5,customer service
0,27,11,customer service
10,24,12,customer service
15,23,10,customer service
8,29,14,customer service
6,27,11,customer service
10,17,8,customer service
1,30,6,customer service
14,29,7,customer service
13,21,11,customer service
21,31,11,customer service
12,26,9,customer service
12,22,9,customer service
5,25,7,customer service
10,24,5,customer service
3,20,14,customer service
6,25,12,customer service
11,27,10,customer service
13,21,14,customer service
11,23,5,customer service
8,18,8,customer service
5,17,9,customer service
11,22,11,customer service
14,22,11,customer service
22,22,6,customer service
16,28,6,customer service
12,25,8,customer service
12,25,7,customer service
15,21,4,customer service
11,28,8,customer service
11,20,9,customer service
15,19,9,customer service
15,24,7,customer service
15,21,10,customer service
17,26,7,customer service
12,28,13,customer service
7,28,12,customer service
14,12,6,customer service
22,24,6,customer service
22,27,12,customer service
18,30,9,customer service
16,18,5,customer service
12,23,4,customer service
16,22,2,customer service
15,26,9,customer service
7,13,7,customer service
6,18,6,customer service
9,24,6,customer service
9,20,12,customer service
20,28,8,customer service
5,22,15,customer service
14,26,17,customer service
8,28,12,customer service
14,22,9,customer service
15,26,4,customer service
15,25,10,customer service
14,27,6,customer service
15,25,11,customer service
11,26,9,customer service
10,28,5,customer service
7,22,10,customer service
11,15,12,customer service
14,25,15,customer service
18,28,7,customer service
14,29,8,customer service
17,20,6,customer service
13,25,14,customer service
9,21,12,customer service
13,26,13,customer service
16,24,10,customer service
20,27,6,mechanic
21,15,10,mechanic
15,27,12,mechanic
15,29,8,mechanic
11,25,11,mechanic
24,9,17,mechanic
18,21,13,mechanic
14,18,4,mechanic
13,22,12,mechanic
17,21,9,mechanic
16,28,13,mechanic
15,22,12,mechanic
24,20,15,mechanic
14,19,13,mechanic
14,28,1,mechanic
18,17,11,mechanic
14,24,7,mechanic
12,16,10,mechanic
16,21,10,mechanic
18,19,9,mechanic
19,26,7,mechanic
13,20,10,mechanic
28,16,10,mechanic
17,19,11,mechanic
24,14,7,mechanic
19,23,12,mechanic
22,12,8,mechanic
22,21,11,mechanic
21,19,9,mechanic
18,24,13,mechanic
23,27,11,mechanic
20,23,12,mechanic
19,13,7,mechanic
17,28,13,mechanic
20,24,5,mechanic
21,23,11,mechanic
17,21,15,mechanic
11,25,12,mechanic
14,19,14,mechanic
18,24,5,mechanic
13,14,7,mechanic
22,18,16,mechanic
25,17,13,mechanic
19,25,13,mechanic
20,20,9,mechanic
21,25,11,mechanic
17,24,11,mechanic
18,26,10,mechanic
21,29,11,mechanic
17,21,12,mechanic
17,19,12,mechanic
17,16,6,mechanic
16,22,5,mechanic
22,19,10,mechanic
19,23,12,mechanic
16,23,9,mechanic
18,27,11,mechanic
21,24,12,mechanic
15,22,13,mechanic
19,26,12,mechanic
14,17,11,mechanic
15,23,7,mechanic
23,20,16,mechanic
22,26,15,mechanic
13,16,11,mechanic
25,29,11,mechanic
23,24,7,mechanic
17,29,9,mechanic
21,19,7,mechanic
15,13,6,mechanic
19,27,14,mechanic
22,24,14,mechanic
17,18,8,mechanic
21,19,8,mechanic
24,18,13,mechanic
21,12,9,mechanic
15,17,8,mechanic
24,22,14,mechanic
19,19,7,mechanic
23,16,10,mechanic
21,29,12,mechanic
20,19,11,mechanic
18,28,0,mechanic
23,21,16,mechanic
17,17,8,mechanic
17,24,5,mechanic
17,18,15,mechanic
17,23,10,mechanic
19,15,10,mechanic
17,20,8,mechanic
25,20,8,mechanic
16,19,8,mechanic
19,16,6,mechanic
19,19,16,dispatch
17,17,12,dispatch
8,17,14,dispatch
13,20,16,dispatch
14,18,4,dispatch
17,12,13,dispatch
17,12,17,dispatch
14,21,16,dispatch
19,18,12,dispatch
18,16,15,dispatch
15,14,17,dispatch
20,15,7,dispatch
24,20,13,dispatch
16,16,17,dispatch
17,15,10,dispatch
17,10,12,dispatch
11,16,11,dispatch
15,18,14,dispatch
20,19,16,dispatch
14,22,16,dispatch
13,15,18,dispatch
16,14,13,dispatch
12,12,6,dispatch
17,17,19,dispatch
10,8,16,dispatch
11,17,20,dispatch
13,16,7,dispatch
19,15,13,dispatch
15,11,13,dispatch
17,11,10,dispatch
15,10,13,dispatch
19,14,12,dispatch
19,14,15,dispatch
4,12,11,dispatch
13,12,15,dispatch
20,13,19,dispatch
14,18,14,dispatch
10,12,9,dispatch
11,12,19,dispatch
8,20,8,dispatch
14,16,7,dispatch
18,20,15,dispatch
19,7,13,dispatch
21,13,11,dispatch
14,26,15,dispatch
25,16,12,dispatch
18,11,19,dispatch
14,16,6,dispatch
13,20,18,dispatch
20,16,14,dispatch
12,14,8,dispatch
16,19,12,dispatch
21,15,7,dispatch
18,23,15,dispatch
19,11,13,dispatch
17,18,9,dispatch
4,10,15,dispatch
17,17,14,dispatch
14,13,12,dispatch
15,16,14,dispatch
20,13,18,dispatch
20,14,18,dispatch
16,22,12,dispatch
9,13,16,dispatch
15,13,13,dispatch
18,20,10,dispatch
